,car_model,year_of_manufacture,price,fuel
0,ritz,2014.0,5000.0,Petrol
1,sx4,2013.0,7089.552,Diesel
2,ciaz,2017.0,10820.896,Petrol
3,wagon r,2011.0,4253.731,Petrol
4,swift,2014.0,6865.672,Diesel
5,vitara brezza,2018.0,13805.97,Diesel
6,ciaz,2015.0,10074.627,Petrol
7,s cross,2015.0,9701.493,Diesel
8,ciaz,2016.0,13059.701,Diesel
9,ciaz,2015.0,11119.403,Diesel
10,alto 800,2017.0,4253.731,Petrol
11,ciaz,2015.0,10223.881,Diesel
12,ciaz,2015.0,11194.03,Petrol
13,ertiga,2015.0,9104.478,Petrol
14,dzire,2009.0,3358.209,Petrol
15,ertiga,2016.0,11567.164,Diesel
16,ertiga,2015.0,10820.896,Diesel
17,ertiga,2016.0,11567.164,Diesel
18,wagon r,2015.0,4850.746,CNG
19,sx4,2010.0,3955.224,Petrol
20,alto k10,2016.0,4253.731,Petrol
21,ignis,2017.0,7313.433,Petrol
22,sx4,2011.0,6567.164,Petrol
23,alto k10,2014.0,3731.343,Petrol
24,wagon r,2013.0,4328.358,Petrol
25,swift,2011.0,4477.612,Petrol
26,swift,2013.0,6194.03,Petrol
27,swift,2017.0,8955.224,Petrol
28,alto k10,2010.0,2910.448,Petrol
29,ciaz,2015.0,11119.403,Diesel
30,ritz,2012.0,4626.866,Diesel
31,ritz,2011.0,3507.463,Petrol
32,swift,2014.0,7388.06,Diesel
33,ertiga,2014.0,8955.224,Diesel
34,dzire,2014.0,8208.955,Diesel
35,sx4,2011.0,4402.985,CNG
36,dzire,2015.0,6940.299,Petrol
37,800,2003.0,522.388,Petrol
38,alto k10,2016.0,4477.612,Petrol
39,sx4,2003.0,3358.209,Petrol
40,baleno,2016.0,8731.343,Petrol
41,alto k10,2014.0,3805.97,Petrol
42,sx4,2008.0,2910.448,Petrol
43,dzire,2014.0,8208.955,Diesel
44,omni,2012.0,1865.672,Petrol
45,ciaz,2014.0,11194.03,Petrol
46,ritz,2013.0,3955.224,Petrol
47,wagon r,2006.0,1567.164,Petrol
48,ertiga,2015.0,8656.716,Petrol
49,ciaz,2017.0,11567.164,Petrol
50,fortuner,2012.0,22238.806,Diesel
51,fortuner,2015.0,34328.358,Diesel
52,innova,2017.0,26865.672,Diesel
53,fortuner,2013.0,23880.597,Diesel
54,innova,2005.0,4104.478,Petrol
55,corolla altis,2009.0,5373.134,Petrol
56,etios cross,2015.0,6716.418,Petrol
57,corolla altis,2010.0,7089.552,Petrol
58,etios g,2014.0,6119.403,Petrol
59,fortuner,2014.0,29835.821,Diesel
60,corolla altis,2013.0,10373.134,Petrol
61,etios liva,2014.0,5895.522,Diesel
62,corolla altis,2016.0,21985.075,Diesel
